// Convert item nameid to view
// <nameid>	<IT_type>	<view>	<unused_aegisname>
1382	4	7	Krieger_Twohand_Axe1
1383	4	7	Holy_Celestial_Axe
1384	4	7	Veteran_Axe
1385	4	7	Bradium_Stonehammer
1386	4	7	Doom_Slayer_I
1387	4	7	Giant_Axe
1388	4	7	Two_Handed_Axe_C
1389	4	7	E_Tomahawk_C
1390	4	7	E_Right_Epsilon_C
1391	4	7	P_Two_Handed_Axe1
1392	4	7	Ignus_Steel
1393	4	7	End_Sectora
1395	4	7	Bellum_Buster
1396	4	7	Bellum_Guillotine
1401	4	4	Javelin
1402	4	4	Javelin_
1403	4	4	Javelin__
1404	4	4	Spear
1405	4	4	Spear_
1406	4	4	Spear__
1407	4	4	Pike
1408	4	4	Pike_
1409	4	4	Pike__
1410	4	5	Lance
1411	4	5	Lance_
1412	4	5	Lance__
1413	4	4	Gungnir
1414	4	4	Gelerdria
1415	4	4	Skewer
1416	4	4	Tjungkuletti
1417	4	4	Pole_Axe
1418	4	4	Gungnir_
1419	4	4	Pole_Axe_C
1420	4	4	Long_Horn
1421	4	4	Battle_Hook
1422	4	4	Hunting_Spear
1423	4	4	Pole_XO
1424	4	4	Skewer_C
1425	4	4	BF_Spear1
1426	4	4	Krieger_Onehand_Spear1
1427	4	4	Spear_Of_Excellent
1428	4	4	Long_Horn_M
1429	4	4	Hunting_Spear_M
1430	4	4	Pike_C
1431	4	4	F_Pole_Axe_C
1432	4	4	E_Pole_Axe_C
1433	4	4	Imperial_Spear
1434	4	4	P_Spear1
1435	4	4	Cannon_Spear
1436	4	4	Bellum_Spear
1451	4	5	Guisarme
1452	4	5	Guisarme_
1453	4	5	Guisarme__
1454	4	5	Glaive
1455	4	5	Glaive_
1456	4	5	Glaive__
1457	4	5	Partizan
1458	4	5	Partizan_
1459	4	5	Partizan__
1460	4	5	Trident
1461	4	5	Trident_
1462	4	5	Trident__
1463	4	5	Halberd
1464	4	5	Halberd_
1465	4	5	Halberd__
1466	4	5	Crescent_Scythe
1467	4	5	Bill_Guisarme
1468	4	5	Zephyrus
1469	4	5	Longinus's_Spear
1470	4	5	Brionac
1471	4	5	Hell_Fire
1472	4	10	Staff_Of_Soul
1473	4	10	Wizardy_Staff
1474	4	5	Gae_Bolg
1475	4	5	Horseback_Lance
1476	4	5	Crescent_Scythe_
1477	4	5	Spectral_Spear
1478	4	5	Ahlspiess
1479	4	5	Spectral_Spear_
1480	4	5	Gae_Bolg_
1481	4	5	Zephyrus_
1482	4	5	BF_Lance1
1483	4	5	Ivory_Lance
1484	4	5	Cardo
1485	4	5	Battle_Fork
1486	4	5	Krieger_Twohand_Spear1
1487	4	5	Lance_C
1488	4	5	Ahlspiess_C
1489	4	5	Marlin
1490	4	5	Gigantic_Lance
1492	4	5	Bellum_Glave
1501	4	8	Club
1502	4	8	Club_
1503	4	8	Club__
1504	4	8	Mace
1505	4	8	Mace_
1506	4	8	Mace__
1507	4	8	Smasher
1508	4	8	Smasher_
1509	4	8	Smasher__
1510	4	8	Flail
1511	4	8	Flail_
1512	4	8	Flail__
1513	4	8	Morning_Star
1514	4	8	Morning_Star_
1515	4	8	Morning_Star__
1516	4	8	Sword_Mace
1517	4	8	Sword_Mace_
1518	4	8	Sword_Mace__
1519	4	8	Chain
1520	4	8	Chain_
1521	4	8	Chain__
1522	4	8	Stunner
1523	4	8	Spike
1524	4	8	Golden_Mace
1525	4	8	Long_Mace
1526	4	8	Slash
1527	4	8	Quadrille
1528	4	8	Grand_Cross
1529	4	8	Iron_Driver
1530	4	8	Mjolnir
1531	4	8	Spanner
1532	4	8	Stunner_
1533	4	8	Warrior_Balmung
1534	4	8	Spanner_C
1535	4	8	Hollgrehenn_Hammer
1536	4	8	Good_Morning_Star
1537	4	8	Quadrille_C
1538	4	8	Spike_
1539	4	8	Golden_Mace_
1540	4	8	Grand_Cross_
1541	4	8	Nemesis
1542	4	8	BF_Morning_Star1
1543	4	8	BF_Morning_Star2
1544	4	8	Lunakaligo
1545	4	8	N_Mace
1546	4	8	Krieger_Onehand_Mace1
1547	4	8	Mace_Of_Madness
1548	4	8	Veteran_Hammer
1549	4	8	Pilebuncker
1550	4	15	Book
1551	4	15	Bible
1552	4	15	Tablet
1553	4	15	Book_Of_Billows
1554	4	15	Book_Of_Mother_Earth
1555	4	15	Book_Of_Blazing_Sun
1556	4	15	Book_Of_Gust_Of_Wind
1557	4	15	Book_Of_The_Apocalypse
1558	4	15	Girl's_Diary
1559	4	15	Legacy_Of_Dragon
1560	4	15	Diary_Of_Great_Sage
1561	4	15	Hardback
1562	4	15	Bible_Of_Battlefield
1563	4	15	Diary_Of_Great_Sage_C
1564	4	15	Encyclopedia
1565	4	15	Death_Note
1566	4	15	Diary_Of_Great_Basil
1567	4	15	Hardback_C
1568	4	15	Book_Of_Billows_
1569	4	15	Book_Of_Mother_Earth_
1570	4	15	Book_Of_Blazing_Sun_
1571	4	15	Book_Of_Gust_Of_Wind_
1572	4	15	Principles_Of_Magic
1573	4	15	Ancient_Magic
1574	4	15	BF_Book1
1575	4	15	BF_Book2
1576	4	15	Krieger_Book1
1577	4	15	Krieger_Book2
1578	4	15	Book_Of_Prayer
1579	4	15	Death_Note_M
1580	4	15	Encyclopedia_C
1581	4	15	F_Diary_Of_Great_Sage_C
1582	4	15	E_Diary_Of_Great_Sage_C
1583	4	15	P_Book1
1584	4	15	Cold_Magic_Book
1586	4	15	Bellum_Bible
1587	4	15	Bellum_Great_Encyclopedia
1599	4	8	Angra_Manyu
1601	4	10	Rod
1602	4	10	Rod_
1603	4	10	Rod__
1604	4	10	Wand
1605	4	10	Wand_
1606	4	10	Wand__
1607	4	10	Staff
1608	4	10	Staff_
1609	4	10	Staff__
1610	4	10	Arc_Wand
1611	4	10	Arc_Wand_
1612	4	10	Arc_Wand__
1613	4	10	Mighty_Staff
1614	4	10	Blessed_Wand
1615	4	10	Bone_Wand
1616	4	10	Staff_Of_Wing
1617	4	10	Survival_Rod
1618	4	10	Survival_Rod_
1619	4	10	Survival_Rod2
1620	4	10	Survival_Rod2_
1621	4	10	Hypnotist's_Staff
1622	4	10	Hypnotist's_Staff_
1623	4	10	Mighty_Staff_C
1624	4	10	Lich_Bone_Wand
1625	4	10	Healing_Staff
1626	4	10	Piercing_Staff
1627	4	10	Staffy
1628	4	10	Survival_Rod_C
1629	4	10	Walking_Stick
1630	4	10	Release_Of_Wish
1631	4	10	Holy_Stick
1632	4	10	BF_Staff1
1633	4	10	BF_Staff2
1634	4	10	BF_Staff3
1635	4	10	BF_Staff4
1636	4	10	Thorn_Staff
1637	4	10	Eraser
1638	4	10	Healing_Staff_C
1639	4	10	N_Rod
1640	4	10	Krieger_Onehand_Staff1
1641	4	10	Krieger_Onehand_Staff2
1642	4	10	Staff_Of_Darkness
1643	4	10	Dead_Tree_Cane
1644	4	10	Piercing_Staff_M
1645	4	10	Lich_Bone_Wand_M
1646	4	10	La'cryma_Stick
1647	4	10	Croce_Staff
1648	4	10	Staff_Of_Bordeaux
1649	4	10	Rafini_Staff
1650	4	10	P_Staff1
1651	4	10	P_Staff2
1652	4	10	Tourist_Staff
1653	4	10	Staff_Of_Healing_C
1654	4	10	Mental_Stick
1657	4	10	Mercy_Staff1
1658	4	10	P_Staff3
1659	4	10	Light_of_Recovery
1660	4	10	Mercy_Staff2
1661	4	10	Mental_Destroyer
1701	4	11	Bow
1702	4	11	Bow_
1703	4	11	Bow__
1704	4	11	Composite_Bow
1705	4	11	Composite_Bow_
1706	4	11	Composite_Bow__
1707	4	11	Great_Bow
1708	4	11	Great_Bow_
1709	4	11	Great_Bow__
1710	4	11	CrossBow
1711	4	11	CrossBow_
1712	4	11	CrossBow__
1713	4	11	Arbalest
1714	4	11	Kakkung
1715	4	11	Arbalest_
1716	4	11	Kakkung_
1718	4	11	Hunter_Bow
1719	4	11	Bow_Of_Roguemaster
1720	4	11	Bow_Of_Rudra
1721	4	11	Repeting_CrossBow
1722	4	11	Balistar
1723	4	11	Luna_Bow
1724	4	11	Dragon_Wing
1725	4	11	Bow_Of_Minstrel
1726	4	11	Hunter_Bow_
1727	4	11	Balistar_
1728	4	11	Balistar_C
1729	4	11	Bow_Of_Rudra_C
1730	4	11	Burning_Bow
1731	4	11	Frozen_Bow
1732	4	11	Earth_Bow
1733	4	11	Gust_Bow
1734	4	11	Orc_Archer_Bow
1735	4	11	Kkakkung
1736	4	11	Double_Bound
1737	4	11	Ixion_Wing
1738	4	11	BF_Bow1
1739	4	11	BF_Bow2
1740	4	11	Nepenthes_Bow
1741	4	11	Cursed_Lyre
1742	4	11	N_Composite_Bow
1743	4	11	Krieger_Bow1
1744	4	11	Bow_Of_Evil
1745	4	11	Falken_Blitz
1746	4	11	Elven_Bow
1747	4	11	P_Bow1
1748	4	11	P_Bow2
1749	4	11	Tourist_Bow
1750	10	1	Arrow
1751	10	1	Silver_Arrow
1752	10	1	Fire_Arrow
1753	10	1	Steel_Arrow
1754	10	1	Crystal_Arrow
1755	10	1	Arrow_Of_Wind
1756	10	1	Stone_Arrow
1757	10	1	Immatrial_Arrow
1758	10	1	Stun_Arrow
1759	10	1	Freezing_Arrow
1760	10	1	Flash_Arrow
1761	10	1	Curse_Arrow
1762	10	1	Rusty_Arrow
1763	10	1	Poison_Arrow
1764	10	1	Incisive_Arrow
1765	10	1	Oridecon_Arrow
1766	10	1	Arrow_Of_Counter_Evil
1767	10	1	Arrow_Of_Shadow
1768	10	1	Sleep_Arrow
1769	10	1	Silence_Arrow
1770	10	1	Iron_Arrow
1771	10	2	Venom_Knife
1772	10	1	Holy_Arrow
1773	10	1	Arrow_Of_Elf
1774	10	1	Hunting_Arrow
1775	10	1	Siege_Craft_Arrow_S
1776	10	1	Siege_Craft_Arrow_A
1801	4	12	Waghnakh
1802	4	12	Waghnakh_
1803	4	12	Knuckle_Duster
1804	4	12	Knuckle_Duster_
1805	4	12	Hora
1806	4	12	Hora_
1807	4	12	Fist
1808	4	12	Fist_
1809	4	12	Claw
1810	4	12	Claw_
1811	4	12	Finger
1812	4	12	Finger_
1813	4	12	Kaiser_Knuckle
1814	4	12	Berserk
1815	4	12	Claw_Of_Garm
1816	4	12	Berserk_
1817	4	12	Kaiser_Knuckle_C
1818	4	12	Magma_Fist
1819	4	12	Icicle_Fist
1820	4	12	Electric_Fist
1821	4	12	Seismic_Fist
1822	4	12	Combo_Battle_Glove
1823	4	12	BF_Knuckle1
1824	4	12	BF_Knuckle2
1825	4	12	Horn_Of_Hilthrion
1826	4	12	Krieger_Knuckle1
1827	4	12	Krieger_Knuckle2
1828	4	12	Monk_Knuckle
1829	4	12	Fist_C
1830	4	12	Sura_Rampage
1831	4	12	P_Knuckle1
1832	4	12	Bellum_Claw
1901	4	13	Violin
1902	4	13	Violin_
1903	4	13	Mandolin
1904	4	13	Mandolin_
1905	4	13	Lute
1906	4	13	Lute_
1907	4	13	Guitar
1908	4	13	Guitar_
1909	4	13	Harp
1910	4	13	Harp_
1911	4	13	Guh_Moon_Goh
1912	4	13	Guh_Moon_Goh_
1913	4	13	Electronic_Guitar
1914	4	13	Guitar_Of_Passion
1915	4	13	Guitar_Of_Blue_Solo
1916	4	13	Guitar_Of_Vast_Land
1917	4	13	Guitar_Of_Gentle_Breeze
1918	4	13	Oriental_Lute
1919	4	13	Base_Guitar
1920	4	13	Berserk_Guitar
1921	4	13	Guh_Moon_Gom
1922	4	13	Oriental_Lute_
1923	4	13	BF_Instrument1
1924	4	13	BF_Instrument2
1925	4	13	Cello
1926	4	13	Harp_Of_Nepenthes
1927	4	13	Krieger_Instrument1
1928	4	13	Berserk_Guitar_I
1929	4	13	Guitar_C
1930	4	13	Green_Whistle
1931	4	13	P_Guitar1
1950	4	14	Rope
1951	4	14	Rope_
1952	4	14	Line
1953	4	14	Line_
1954	4	14	Wire
1955	4	14	Wire_
1956	4	14	Rante
1957	4	14	Rante_
1958	4	14	Tail
1959	4	14	Tail_
1960	4	14	Whip
1961	4	14	Whip_
1962	4	14	Lariat
1963	4	14	Rapture_Rose
1964	4	14	Chemeti
1965	4	14	Whip_Of_Red_Flame
1966	4	14	Whip_Of_Ice_Piece
1967	4	14	Whip_Of_Earth
1968	4	14	Jump_Rope
1969	4	14	Bladed_Whip
1970	4	14	Queen's_Whip
1971	4	14	Electric_Wire
1972	4	14	Electric_Eel
1973	4	14	Sea_Witch_Foot
1974	4	14	Carrot_Whip
1975	4	14	Queen_Is_Whip
1976	4	14	Queen's_Whip_
1977	4	14	BF_Whip1
1978	4	14	BF_Whip2
1979	4	14	Stem_Of_Nepenthes
1980	4	14	Whip_Of_Balance
1981	4	14	Krieger_Whip1
1982	4	14	Phenomena_Whip
1983	4	14	Rante_C
1984	4	14	Stem_Whip
1985	4	14	Rosebine
1986	4	14	P_Tail1
2000	4	10	Destruction_Rod
2001	4	10	Divine_Cross
2002	4	10	Krieger_Twohand_Staff1
2003	4	10	Destruction_Rod_M
2004	4	10	Kronos
2005	4	10	Dea_Staff
2006	4	10	G_Staff_Of_Light
2007	4	10	Golden_Rod_Staff
2008	4	10	Aqua_Staff
2009	4	10	Crimson_Staff
2010	4	10	Forest_Staff
2011	4	10	Golden_Lord_Staff2
2012	4	10	Aqua_Staff2
2013	4	10	Crimson_Staff2
2014	4	10	Forest_Staff2
2016	4	10	Bellum_Arcwand
2101	5	1	Guard
2102	5	1	Guard_
2103	5	2	Buckler
2104	5	2	Buckler_
2105	5	3	Shield
2106	5	3	Shield_
2107	5	4	Mirror_Shield
2108	5	4	Mirror_Shield_
2110	5	3	Holy_Guard
2111	5	3	Herald_Of_GOD
2112	5	1	Novice_Guard
2113	5	3	Novice_Shield
2114	5	2	Stone_Buckler
2115	5	3	Valkyrja's_Shield
2116	5	3	Angel's_Safeguard
2122	5	1	Platinum_Shield
2123	5	1	Orleans_Server
2124	5	1	Thorny_Buckler
2125	5	1	Strong_Shield
2126	5	1	Guyak_Shield
2127	5	1	Secular_Mission
2128	5	3	Herald_Of_GOD_
2129	5	1	Exorcism_Bible
2130	5	1	Cross_Shield
2131	5	1	Magic_Study_Vol1
2132	5	1	Shelter_Resistance
2133	5	3	Tournament_Shield
2134	5	3	Shield_Of_Naga
2135	5	3	Shadow_Guard
2136	5	2	Cracked_Buckler
2137	5	3	Valkyrja's_Shield_C
2138	5	3	Bradium_Shield
2139	5	1	Flame_Thrower
2140	5	1	Energy_Rune_Guard
2141	5	3	Freyja_SShield7
2142	5	3	Freyja_SShield30
2143	5	3	Freyja_SShield60
2144	5	3	Freyja_SShield90
2145	5	3	Time_Keepr_Shield
2146	5	1	Siver_Guard
2147	5	2	Round_Buckler
2148	5	3	Rotha_Shield
2149	5	1	Upg_Guard
2150	5	2	Upg_Buckler
2151	5	3	Upg_Shield
2152	5	3	Anti_Demon_Shield_C
2153	5	1	Imperial_Guard
2154	5	1	Toy_Shield
2156	5	1	Bible_Of_Promise1
2157	5	1	Insecticide
2160	5	1	Giant_Shield
2161	5	1	Geffenia_Tomb_of_Water
2162	5	1	Promise_Bible_Vol2
2171	5	1	Fox_Wrist_Guard
2172	5	1	Wolf_Wrist_Guard
2173	5	1	Crescent_Wrist_Guard
2201	5	12	Sunglasses
2202	5	12	Sunglasses_
2203	5	3	Glasses
2204	5	3	Glasses_
2205	5	10	Diver's_Goggles
2206	5	44	Wedding_Veil
2207	5	4	Fancy_Flower
2208	5	17	Ribbon
2209	5	17	Ribbon_
2210	5	9	Hair_Band
2211	5	6	Bandana
2212	5	13	Eye_Bandage
2213	5	2	Cat_Hairband
2214	5	15	Bunny_Band
2215	5	5	Flower_Hairband
2216	5	11	Biretta
2217	5	11	Biretta_
2218	5	8	Flu_Mask
2219	5	8	Flu_Mask_
2220	5	16	Hat
2221	5	16	Hat_
2222	5	7	Turban
2223	5	7	Turban_
2224	5	1	Goggle
2225	5	1	Goggle_
2226	5	14	Cap
2227	5	14	Cap_
2228	5	40	Helm
2229	5	40	Helm_
2232	5	18	Circlet
2233	5	18	Circlet_
2234	5	19	Tiara
2235	5	45	Crown
2236	5	20	Santa's_Hat
2237	5	21	Weird_Goatee
2238	5	22	Weird_Moustache
2239	5	23	One_Eyed_Glass
2240	5	24	Beard
2241	5	25	Granpa_Beard
2242	5	26	Luxury_Sunglasses
2243	5	27	Spinning_Eyes
2244	5	28	Big_Sis'_Ribbon
2245	5	29	Sweet_Gents
2246	5	30	Golden_Gear
2247	5	31	Oldman's_Romance
2248	5	32	Western_Grace
2249	5	33	Coronet
2250	5	34	Fillet
2251	5	35	Holy_Bonnet
2252	5	36	Star_Sparkling
2253	5	37	Sunflower
2254	5	38	Angelic_Chain
2255	5	39	Satanic_Chain
2256	5	41	Magestic_Goat
2257	5	42	Snowy_Horn
2258	5	43	Sharp_Gear
2259	5	46	Mini_Propeller
2260	5	47	Mini_Glasses
2261	5	48	Prontera_Army_Cap
2262	5	49	Pierrot_Nose
2263	5	50	Gangster_Patch
2264	5	51	Munak_Turban
2265	5	52	Ganster_Mask
2266	5	53	Iron_Cane
2267	5	54	Cigar
2268	5	55	Smoking_Pipe
2269	5	56	Centimental_Flower
2270	5	57	Centimental_Leaf
2271	5	58	Jack_A_Dandy
2272	5	59	Stop_Post
2273	5	60	Doctor_Cap
2274	5	61	Ghost_Bandana
2275	5	62	Red_Bandana
2276	5	63	Eagle_Eyes
2277	5	64	Nurse_Cap
2278	5	65	Mr_Smile
2279	5	66	Bomb_Wick
2280	5	67	Sahkkat
2281	5	68	Phantom_Of_Opera
2282	5	69	Spirit_Chain
2283	5	70	Ear_Mufs
2284	5	71	Antler
2285	5	72	Apple_Of_Archer
2286	5	73	Elven_Ears
2287	5	74	Pirate_Bandana
2288	5	75	Mr_Scream
2289	5	76	Poo_Poo_Hat
2290	5	77	Funeral_Costume
2291	5	78	Masquerade
2292	5	79	Welding_Mask
2293	5	80	Pretend_Murdered
2294	5	81	Star_Dust
2295	5	82	Blinker
2296	5	83	Binoculars
2297	5	84	Goblini_Mask
2298	5	85	Green_Feeler
2299	5	86	Viking_Helm
2573	5	1	Archangel_Wings
2576	5	2	Adventurer's_Backpack
2686	5	73	Elven_Ears_C
2687	5	56	Steel_Flower_C
5001	5	87	Headset
5002	5	88	Gemmed_Crown
5003	5	89	Joker_Jester
5004	5	90	Oxygen_Mask
5005	5	91	Gas_Mask
5006	5	92	Machoman_Glasses
5007	5	93	Loard_Circlet
5008	5	94	Puppy_Love
5009	5	95	Safety_Helmet
5010	5	96	Indian_Hair_Piece
5011	5	97	Antenna
5012	5	98	Ph.D_Hat
5013	5	99	Horn_Of_Lord_Kaho
5014	5	100	Fin_Helm
5015	5	101	Egg_Shell
5016	5	102	Boy's_Cap
5017	5	103	Bone_Helm
5018	5	104	Feather_Bonnet
5019	5	105	Corsair
5020	5	106	Kafra_Band
5021	5	107	Bankruptcy_Of_Heart
5022	5	138	Helm_Of_Sun
5023	5	108	Hat_Of_Bundle
5024	5	109	Hat_Of_Cake
5025	5	110	Helm_Of_Angel
5026	5	111	Hat_Of_Cook
5027	5	112	Wizardry_Hat
5028	5	113	Candle
5029	5	114	Spore_Hat
5030	5	115	Panda_Cap
5031	5	116	Mine_Helm
5032	5	117	Picnic_Hat
5033	5	118	Smokie_Hat
5034	5	119	Light_Bulb_Band
5035	5	120	Poring_Hat
5036	5	121	Cross_Band
5037	5	122	Fruit_Shell
5038	5	123	Deviruchi_Cap
5039	5	124	Mottled_Egg_Shell
5040	5	125	Blush
5041	5	126	Heart_Hair_Pin
5042	5	127	Hair_Protector
5043	5	128	Opera_Ghost_Mask
5044	5	129	Devil's_Wing
5045	5	130	Magician_Hat
5046	5	139	Bongun_Hat
5047	5	131	Fashion_Sunglass
5048	5	132	First_Moon_Hair_Pin
5049	5	133	Stripe_Band
5050	5	134	Mystery_Fruit_Shell
5051	5	135	Kitty_Bell
5052	5	136	Blue_Hair_Band
5053	5	137	Spinx_Helm
5054	5	180	Assassin_Mask
5055	5	101	Novice_Egg_Cap
5056	5	140	Love_Berry
5057	5	141	Ear_Of_Black_Cat
5058	5	142	Drooping_Kitty
5059	5	143	Brown_Bear_Cap
5060	5	144	Party_Hat
5061	5	145	Flower_Hairpin
5062	5	146	Straw_Hat
5063	5	147	Plaster
5064	5	148	Leaf_Headgear
5065	5	149	Fish_On_Head
5066	5	150	Horn_Of_Succubus
5067	5	151	Sombrero
5068	5	152	Ear_Of_Devil's_Wing
5069	5	153	Mask_Of_Fox
5070	5	154	Headband_Of_Power
5071	5	155	Indian_Headband
5072	5	156	Inccubus_Horn
5073	5	157	Cap_Of_Concentration
